1,20,0,2.4250616204,1.3647179493,false,0.000436,100,1,2.4250616204
61,30,0,1.6297087897,1.2197199129,false,0.000436,100,1,1.6297087897
121,40,0,1.2099333545,1.1373366631,false,0.000436,100,1,1.2099333545
181,50,0,0.9776581082,1.0854886461,false,0.000436,100,1,0.9776581082
242,60,0,0.8122719646,1.0484178528,false,0.000436,100,1,0.8122719646
302,70,0,0.6963788301,1.2107036304,false,0.000436,100,1,0.6963788301
362,80,0,0.6075697211,1.3026637128,false,0.000436,100,1,0.6075697211
12,20,0.166667,2.4609940486,1.3642443926,false,0.000436,100,2,2.4609940486
72,30,0.166667,1.6094986807,1.2158638139,false,0.000436,100,1,1.6094986807
132,40,0.166667,1.2181043748,1.1365683821,false,0.000436,100,2,1.2181043748
192,50,0.166667,0.9750812568,1.0840053053,false,0.000436,100,2,0.9750812568
252,60,0.166667,0.8058762914,1.0473851457,false,0.000436,100,1,0.8058762914
312,70,0.166667,0.6914531852,1.2081140764,false,0.000436,100,1,0.6914531852
372,80,0.166667,0.6069501745,1.3010906949,false,0.000436,100,2,0.6069501745
22,20,0.333333,2.4351297405,1.3631984706,false,0.000436,100,1,2.4351297405
82,30,0.333333,1.6159796546,1.216403429,false,0.000436,100,1,1.6159796546
142,40,0.333333,1.2233765192,1.1369288633,false,0.000436,100,1,1.2233765192
202,50,0.333333,0.9771882609,1.0843252649,false,0.000436,100,1,0.9771882609
262,60,0.333333,0.8165443629,1.0475722979,false,0.000436,100,2,0.8165443629
322,70,0.333333,0.6924736065,1.2104264395,false,0.000436,100,1,0.6924736065
382,80,0.333333,0.6088796614,1.3042370847,false,0.000436,100,1,0.6088796614
32,20,0.5,2.4131655985,1.3648388616,false,0.000436,100,1,2.4131655985
92,30,0.5,1.6212193696,1.2201803345,false,0.000436,100,1,1.6212193696
152,40,0.5,1.2280279316,1.1386268675,false,0.000436,100,2,1.2280279316
212,50,0.5,0.9671793246,1.0852622154,false,0.000436,100,1,0.9671793246
272,60,0.5,0.821233998,1.0494188813,false,0.000436,100,2,0.821233998
332,70,0.5,0.6973405346,1.2112954815,false,0.000436,100,2,0.6973405346
392,80,0.5,0.6096585912,1.3072052666,false,0.000436,100,1,0.6096585912
42,20,0.666667,2.4450857784,1.3681126593,false,0.000436,100,1,2.4450857784
102,30,0.666667,1.6305800588,1.2206790998,false,0.000436,100,1,1.6305800588
162,40,0.666667,1.2148974308,1.1386777538,false,0.000436,100,1,1.2148974308
222,50,0.666667,0.9665803272,1.0866008464,false,0.000436,100,2,0.9665803272
282,60,0.666667,0.8056846999,1.0508064791,false,0.000436,100,1,0.8056846999
342,70,0.666667,0.6943814105,1.0780422323,false,0.000436,100,2,0.6943814105
402,80,0.666667,0.6087459833,1.1259998351,false,0.000436,100,1,0.6087459833
52,20,0.833333,2.44,1.1998932425,false,0.000436,100,1,2.44
112,30,0.833333,1.6564383859,0.9932087829,false,0.000436,100,1,1.6564383859
172,40,0.833333,1.2187325182,0.8605628623,false,0.000436,100,1,1.2187325182
232,50,0.833333,0.970750183,0.7710204483,false,0.000436,100,1,0.970750183
292,60,0.833333,0.8105665993,0.70444387,false,0.000436,100,1,0.8105665993
352,70,0.833333,0.6941283569,0.6513825054,false,0.000436,100,1,0.6941283569
412,80,0.833333,0.6086366539,0.6086366539,false,0.000436,100,1,0.6086366539
